time_1,vol_1,time_2,vol_2,time_3,vol_3,time_4,vol_4,time_5,vol_5,time_6,vol_6,time_7,vol_7,time_8,vol_8,time_9,vol_9,time_10,vol_10,time_11,vol_11,time_12,vol_12,time_13,vol_13,time_14,vol_14,time_15,vol_15,time_16,vol_16,time_17,vol_17,time_18,vol_18,time_19,vol_19,time_20,vol_20,time_21,vol_21,time_22,vol_22,time_23,vol_23,time_24,vol_24
13,112.00698,25,137.967732,25,117.6400085,17,175.589144,30,152.399784,30,156.34116,13,117.39755,13,118.543176,13,148.367538,12,126.967824,12,134.318835,20,130.251849,12,94985,7,107.4039075,7,94.343292,7,75.9492,7,92.332032,8,173.467008,8,136.603008,8,130.30656,8,115.74325,8,120.875392,8,148.754151,8,108.561042
23,124.9679,32,148.816741,32,152.8635375,30,114.43328,36,125.0256,36,157.602816,21,156.989875,21,113.022315,21,140.203512,20,143.8401415,20,179.0136,27,214.747061,20,169.21781,9,62.0045595,9,61.10545,9,54.136512,9,57.0304865,16,93.43431,16,93.09424,16,73.598976,16,79.4601745,16,78.9329,16,84.951814,16,71.3768155
34,418.877026,40,221.698094,40,226.7746875,36,161.939596,44,318.912426,44,221.8845365,28,120.678413,28,159.236604,28,191.259404,27,179.0136,27,154.974944,34,218.6045875,27,120.416382,12,87.005184,12,53.222832,12,58.340412,12,84.33216,23,93.17398,23,95.3669925,23,104.981471,23,129.034224,23,95.819328,23,110.35684,23,74.6608375
43,302.342544,48,537.344158,48,280.512162,44,362.377576,51,405.224056,51,373.7367265,35,166.163388,35,316.2638115,35,412.29074,34,168.2885945,34,143.0335725,41,313.071672,34,129.8128,14,75.0722875,14,101.0439515,14,57.409821,14,68.6664,30,135.0001125,30,119.112424,30,194.443288,30,160.627064,30,107.4039075,30,133.3868,30,92697
50,799.45125,53,451.103232,53,613836,51,431.660385,57,455.512244,57,417.8711745,42,249.571125,42,648.10855,42,259.330104,41,205.667667,41,151.3931265,47,497.18448,41,192.2754825,16,54.426165,16,76.362576,16,77.089244,16,63,37,256.6387055,37,208.720134,37,432.1953125,37,288.657408,37,142.2220345,37,206.937486,37,72.76264
58,852.8158735,61,826.933329,61,435.614936,57,579.6092,65,650.4885665,65,433.259793,48,424.13312,48,929.4892425,48,669.0816,47,192.44799,47,246.7737,50,628.9277625,47,265.715127,19,78.9891025,19,73.2021,19,63.883014,19,64.127546,44,835.4813445,44,360.6449015,44,675.5328,44,586.6777,44,313.105408,44,251.947888,44,81.3824
64,811.617086,67,1084.291875,67,912.96,65,581.0536,72,758.3828435,72,589.8375,51,503.49312,51,824615,51,762.8652,50,187.18,50,217.63607,54,657.972984,50,226.1726565,21,65.9088445,21,57.484032,21,92.10235,21,104.404407,51,1050.513787,51,678.44555,51,1313.353533,51,700.6616385,51,604.4999625,51,386.14004,51,83.7925
72,1244.227754,,,,,72,651.2697,79,906.675606,79,781.1208,55,569.523795,55,895.6864525,55,870.947334,54,211.725566,54,250.697432,56,668.928025,54,256.204071,23,61.8688125,23,76.159278,23,76388,23,57.112028,,,,,,,,,57,557.34715,57,408.41216,57,143.723375
,,,,,,78,1529.265004,,,,,57,574.0211565,57,769.494816,57,998.68316,56,201.7872835,56,329.767601,,,56,352.127475,26,82.166656,26,88.9008445,26,98.8428,26,80.465432,,,,,,,,,64,857.7861875,64,554.715702,64,187.6552125
,,,,,,,,,,,,,,,,,,,,,,,,,,28,99.2794845,28,37.6851475,28,125.5859375,28,211.754338,,,,,,,,,77,1212.514996,77,912.93552,77,223.218114
,,,,,,,,,,,,,,,,,,,,,,,,,,30,126.980667,30,58.5496875,30,127.4049,30,74.152296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,35,163.62325,35,82.761903,35,257.540864,35,170.021376,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,37,230.55992,37,131.0804,37,212.41116,37,127.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40,285.004575,40,210.2784,40,457.37259,40,271.3359125,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,42,350.856422,42,191.828736,42,476.86608,42,265.547268,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,44,801.93157,44,189.885486,44,824.209048,44,458.5281765,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,47,1095.081278,47,358.6953125,47,870.330864,47,696.44367,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,49,712.1278,49,379.6998205,49,1053.892683,49,640.860384,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,51,918.473127,51,431.7775875,51,1374.0246,51,1018.607616,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,54,1187.681336,54,464.9954665,54,1252.087886,54,788.3904,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,57,1121875,57,466.038206,57,1396.606536,57,872.7127605,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,62,1396.154444,62,572.6858905,62,1981.9808,62,941.668352,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,65,1466.065963,65,701.207364,65,2093.126387,65,1211.918752,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,70,1753.444688,70,723.3587675,70,2432.452032,70,1042.138247,,,,,,,,,,,,,,
